,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
28,CALIFORNIA,2019,53.0,49.0,8.0,39565.0,24786.0,0.6264627827625426,64351.0,False,Democrat,9.0,4.0,1.0,2.0,3.0,0.0,11.0,4.0,11.0,3.0,1.0,4.0,0.0,0.0
29,CALIFORNIA,2020,38.0,37.0,4.0,0.0,0.0,0.0,0.0,False,Democrat,6.0,1.0,0.0,3.0,3.0,0.0,5.0,2.0,7.0,5.0,3.0,3.0,0.0,0.0
30,COLORADO,2015,294.0,245.0,81.0,4717.0,5821.0,1.2340470638117447,10538.0,False,Democrat,19.0,5.0,4.0,15.0,16.0,3.0,93.0,21.0,44.0,29.0,22.0,17.0,5.0,1.0
31,COLORADO,2016,302.0,257.0,72.0,5323.0,7040.0,1.3225624647755025,12363.0,False,Democrat,21.0,12.0,7.0,15.0,20.0,6.0,93.0,20.0,32.0,34.0,9.0,28.0,5.0,0.0
32,COLORADO,2017,343.0,299.0,80.0,7190.0,7424.0,1.0325452016689847,14614.0,False,Democrat,24.0,8.0,8.0,21.0,27.0,4.0,99.0,24.0,44.0,39.0,19.0,22.0,3.0,1.0
33,COLORADO,2018,383.0,337.0,74.0,6807.0,6555.0,0.9629792860290877,13362.0,False,Democrat,26.0,13.0,12.0,30.0,21.0,7.0,98.0,28.0,51.0,42.0,18.0,34.0,3.0,0.0
34,COLORADO,2019,362.0,319.0,73.0,5377.0,5690.0,1.058210898270411,11067.0,False,Democrat,18.0,12.0,6.0,30.0,30.0,3.0,98.0,29.0,61.0,26.0,12.0,32.0,5.0,0.0
35,COLORADO,2020,242.0,200.0,58.0,0.0,0.0,0.0,0.0,False,Democrat,15.0,6.0,4.0,10.0,20.0,8.0,71.0,22.0,30.0,31.0,9.0,13.0,3.0,0.0
36,CONNECTICUT,2015,90.0,79.0,19.0,3304.0,1920.0,0.5811138014527845,5224.0,False,Democrat,4.0,7.0,2.0,6.0,4.0,1.0,22.0,9.0,12.0,5.0,14.0,4.0,0.0,0.0
37,CONNECTICUT,2016,98.0,76.0,33.0,3242.0,1933.0,0.5962368908081431,5175.0,False,Democrat,4.0,4.0,3.0,5.0,6.0,0.0,43.0,4.0,12.0,7.0,5.0,5.0,0.0,0.0
38,CONNECTICUT,2017,125.0,100.0,35.0,2398.0,2011.0,0.8386155129274395,4409.0,False,Democrat,4.0,5.0,7.0,7.0,14.0,1.0,41.0,12.0,16.0,4.0,5.0,7.0,2.0,0.0
39,CONNECTICUT,2018,118.0,100.0,28.0,2695.0,2325.0,0.862708719851577,5020.0,False,Democrat,7.0,5.0,5.0,6.0,11.0,2.0,32.0,12.0,16.0,10.0,2.0,10.0,0.0,0.0
40,CONNECTICUT,2019,130.0,109.0,28.0,2822.0,2274.0,0.8058114812189936,5096.0,False,Democrat,9.0,2.0,5.0,12.0,10.0,2.0,33.0,10.0,19.0,8.0,5.0,13.0,2.0,0.0
41,CONNECTICUT,2020,75.0,67.0,16.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,5.0,4.0,5.0,10.0,0.0,24.0,6.0,7.0,4.0,3.0,7.0,0.0,0.0
42,DELAWARE,2015,40.0,36.0,8.0,748.0,478.0,0.6390374331550802,1226.0,False,Democrat,3.0,0.0,2.0,3.0,3.0,0.0,12.0,3.0,6.0,3.0,2.0,1.0,2.0,0.0
43,DELAWARE,2016,44.0,34.0,19.0,801.0,667.0,0.83270911360799,1468.0,False,Democrat,3.0,1.0,3.0,2.0,0.0,1.0,21.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0
44,DELAWARE,2017,42.0,31.0,16.0,899.0,1034.0,1.150166852057842,1933.0,False,Democrat,1.0,1.0,1.0,0.0,0.0,1.0,17.0,6.0,8.0,3.0,0.0,3.0,0.0,1.0
45,DELAWARE,2018,40.0,33.0,8.0,1067.0,1206.0,1.1302717900656045,2273.0,False,Democrat,3.0,6.0,1.0,1.0,3.0,1.0,14.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0
46,DELAWARE,2019,43.0,35.0,11.0,939.0,1444.0,1.5378061767838125,2383.0,False,Democrat,4.0,2.0,1.0,2.0,2.0,0.0,14.0,3.0,7.0,3.0,1.0,4.0,0.0,0.0
47,DELAWARE,2020,47.0,44.0,9.0,0.0,0.0,0.0,0.0,False,Democrat,2.0,0.0,3.0,4.0,6.0,0.0,11.0,3.0,11.0,4.0,2.0,1.0,0.0,0.0
48,DISTRICT OF COLUMBIA,2015,27.0,22.0,7.0,1348.0,1699.0,1.260385756676558,3047.0,False,Democrat,1.0,4.0,0.0,2.0,0.0,0.0,9.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0
