,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
112,LOUISIANA,2019,265.0,238.0,64.0,3103.0,10522.0,3.3909120206252013,13625.0,True,Republican,13.0,18.0,8.0,10.0,21.0,2.0,94.0,14.0,35.0,25.0,12.0,11.0,2.0,0.0
113,LOUISIANA,2020,149.0,127.0,27.0,0.0,0.0,0.0,0.0,True,Republican,14.0,12.0,3.0,6.0,15.0,1.0,39.0,10.0,21.0,14.0,3.0,9.0,2.0,0.0
114,MAINE,2015,61.0,46.0,16.0,647.0,667.0,1.0309119010819165,1314.0,False,Democrat,4.0,2.0,3.0,2.0,2.0,1.0,23.0,6.0,5.0,0.0,7.0,5.0,1.0,0.0
115,MAINE,2016,76.0,45.0,34.0,542.0,495.0,0.9132841328413284,1037.0,False,Democrat,4.0,2.0,2.0,7.0,5.0,0.0,36.0,2.0,11.0,4.0,0.0,2.0,1.0,0.0
116,MAINE,2017,92.0,62.0,32.0,416.0,609.0,1.4639423076923077,1025.0,False,Democrat,7.0,5.0,0.0,4.0,4.0,1.0,34.0,5.0,12.0,8.0,4.0,8.0,0.0,0.0
117,MAINE,2018,66.0,52.0,18.0,705.0,605.0,0.8581560283687943,1310.0,False,Democrat,4.0,2.0,1.0,10.0,5.0,0.0,20.0,10.0,5.0,3.0,2.0,3.0,1.0,0.0
118,MAINE,2019,82.0,56.0,29.0,1401.0,838.0,0.5981441827266238,2239.0,False,Democrat,2.0,2.0,1.0,6.0,4.0,4.0,34.0,7.0,4.0,5.0,2.0,10.0,0.0,1.0
119,MAINE,2020,61.0,47.0,18.0,0.0,0.0,0.0,0.0,False,Democrat,2.0,0.0,2.0,4.0,4.0,0.0,20.0,6.0,7.0,6.0,3.0,6.0,1.0,0.0
120,MARYLAND,2015,12.0,13.0,2.0,5696.0,3809.0,0.6687148876404494,9505.0,False,Democrat,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
121,MARYLAND,2016,13.0,11.0,2.0,5764.0,4370.0,0.7581540596807772,10134.0,False,Democrat,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0
122,MARYLAND,2017,17.0,16.0,2.0,5451.0,3569.0,0.6547422491286002,9020.0,False,Democrat,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0
123,MARYLAND,2018,18.0,17.0,2.0,5023.0,4368.0,0.8695998407326299,9391.0,False,Democrat,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0
124,MARYLAND,2019,15.0,10.0,5.0,5653.0,3850.0,0.681054307447373,9503.0,False,Democrat,1.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
125,MARYLAND,2020,7.0,5.0,2.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
126,MASSACHUSETTS,2015,236.0,198.0,59.0,7346.0,8032.0,1.093384154641982,15378.0,False,Democrat,13.0,11.0,12.0,16.0,20.0,2.0,70.0,17.0,28.0,11.0,23.0,13.0,0.0,0.0
127,MASSACHUSETTS,2016,240.0,200.0,56.0,6260.0,8868.0,1.4166134185303514,15128.0,False,Democrat,14.0,8.0,11.0,13.0,18.0,2.0,74.0,9.0,32.0,20.0,22.0,15.0,2.0,0.0
128,MASSACHUSETTS,2017,249.0,211.0,54.0,5891.0,11080.0,1.8808351722967238,16971.0,False,Democrat,14.0,10.0,8.0,23.0,21.0,4.0,67.0,14.0,43.0,12.0,20.0,13.0,0.0,0.0
129,MASSACHUSETTS,2018,251.0,205.0,62.0,5985.0,11720.0,1.9582289055973265,17705.0,False,Democrat,15.0,8.0,5.0,14.0,17.0,2.0,83.0,25.0,32.0,16.0,16.0,18.0,0.0,0.0
130,MASSACHUSETTS,2019,233.0,201.0,51.0,6685.0,11111.0,1.66207928197457,17796.0,False,Democrat,16.0,5.0,5.0,21.0,24.0,3.0,63.0,15.0,34.0,12.0,21.0,12.0,2.0,0.0
131,MASSACHUSETTS,2020,146.0,132.0,28.0,0.0,0.0,0.0,0.0,False,Democrat,8.0,9.0,2.0,9.0,17.0,1.0,34.0,11.0,19.0,11.0,10.0,11.0,4.0,0.0
132,MICHIGAN,2015,9.0,7.0,2.0,6038.0,6498.0,1.0761841669426964,12536.0,True,Democrat,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
133,MICHIGAN,2016,9.0,8.0,1.0,5224.0,7188.0,1.3759571209800918,12412.0,True,Democrat,1.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
134,MICHIGAN,2017,11.0,10.0,1.0,5636.0,7417.0,1.3160042583392477,13053.0,True,Democrat,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
135,MICHIGAN,2018,6.0,3.0,3.0,5291.0,7369.0,1.3927423927423928,12660.0,True,Democrat,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
136,MICHIGAN,2019,7.0,3.0,4.0,5092.0,8349.0,1.639630793401414,13441.0,True,Democrat,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
137,MICHIGAN,2020,3.0,3.0,0.0,0.0,0.0,0.0,0.0,True,Democrat,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138,MINNESOTA,2015,6.0,6.0,1.0,6806.0,4939.0,0.7256832206876286,11745.0,False,Democrat,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
139,MINNESOTA,2016,11.0,10.0,2.0,7260.0,4564.0,0.6286501377410468,11824.0,False,Democrat,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
140,MINNESOTA,2017,3.0,2.0,1.0,6726.0,4555.0,0.6772227178114778,11281.0,False,Democrat,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,MINNESOTA,2018,10.0,8.0,2.0,6477.0,5104.0,0.7880191446657403,11581.0,False,Democrat,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,MINNESOTA,2019,8.0,7.0,1.0,8050.0,5521.0,0.6858385093167702,13571.0,False,Democrat,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
143,MINNESOTA,2020,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
144,MISSISSIPPI,2015,207.0,153.0,72.0,1509.0,1902.0,1.260437375745527,3411.0,True,Republican,20.0,12.0,3.0,7.0,11.0,1.0,84.0,11.0,27.0,7.0,13.0,9.0,1.0,1.0
145,MISSISSIPPI,2016,207.0,162.0,73.0,2211.0,856.0,0.38715513342379015,3067.0,True,Republican,17.0,11.0,5.0,7.0,19.0,0.0,87.0,10.0,25.0,10.0,2.0,10.0,4.0,0.0
146,MISSISSIPPI,2017,209.0,172.0,65.0,2535.0,683.0,0.26942800788954635,3218.0,True,Republican,15.0,8.0,7.0,16.0,11.0,1.0,94.0,10.0,16.0,19.0,3.0,9.0,0.0,0.0
147,MISSISSIPPI,2018,204.0,175.0,64.0,2234.0,1134.0,0.5076096687555953,3368.0,True,Republican,12.0,12.0,2.0,6.0,13.0,0.0,84.0,10.0,25.0,19.0,8.0,9.0,4.0,0.0
148,MISSISSIPPI,2019,222.0,181.0,60.0,1509.0,1054.0,0.6984758117958914,2563.0,True,Republican,16.0,15.0,4.0,7.0,14.0,3.0,79.0,10.0,35.0,15.0,14.0,9.0,1.0,0.0
149,MISSISSIPPI,2020,113.0,87.0,37.0,0.0,0.0,0.0,0.0,True,Republican,10.0,5.0,1.0,8.0,6.0,1.0,49.0,8.0,15.0,5.0,2.0,3.0,0.0,0.0
150,MISSOURI,2015,299.0,249.0,86.0,3399.0,4083.0,1.2012356575463372,7482.0,False,Republican,23.0,12.0,8.0,14.0,19.0,4.0,97.0,27.0,26.0,26.0,23.0,18.0,0.0,2.0
151,MISSOURI,2016,320.0,252.0,98.0,3780.0,4830.0,1.2777777777777777,8610.0,False,Republican,22.0,30.0,11.0,21.0,19.0,3.0,103.0,20.0,29.0,30.0,10.0,20.0,1.0,1.0
152,MISSOURI,2017,292.0,226.0,91.0,4112.0,5161.0,1.2551070038910506,9273.0,False,Republican,15.0,10.0,6.0,29.0,22.0,4.0,104.0,19.0,29.0,20.0,17.0,14.0,3.0,0.0
153,MISSOURI,2018,344.0,246.0,118.0,2973.0,5791.0,1.9478641103262697,8764.0,False,Republican,19.0,14.0,1.0,23.0,22.0,6.0,129.0,23.0,55.0,25.0,14.0,13.0,0.0,0.0
154,MISSOURI,2019,364.0,290.0,111.0,3202.0,5880.0,1.8363522798251093,9082.0,False,Republican,16.0,16.0,3.0,29.0,29.0,2.0,139.0,25.0,49.0,27.0,10.0,14.0,5.0,0.0
155,MISSOURI,2020,211.0,162.0,62.0,0.0,0.0,0.0,0.0,False,Republican,15.0,11.0,6.0,17.0,19.0,1.0,67.0,10.0,26.0,13.0,6.0,14.0,6.0,0.0
156,MONTANA,2015,39.0,33.0,7.0,873.0,1272.0,1.4570446735395188,2145.0,False,Republican,2.0,0.0,4.0,1.0,3.0,0.0,10.0,5.0,3.0,2.0,7.0,2.0,0.0,0.0
157,MONTANA,2016,54.0,48.0,13.0,930.0,841.0,0.9043010752688172,1771.0,False,Republican,3.0,3.0,1.0,6.0,4.0,1.0,18.0,1.0,3.0,5.0,4.0,4.0,1.0,0.0
158,MONTANA,2017,60.0,47.0,15.0,1104.0,869.0,0.7871376811594203,1973.0,False,Republican,1.0,3.0,2.0,3.0,3.0,2.0,19.0,1.0,11.0,8.0,4.0,2.0,1.0,0.0
159,MONTANA,2018,46.0,39.0,11.0,1565.0,765.0,0.48881789137380194,2330.0,False,Republican,4.0,1.0,1.0,2.0,2.0,0.0,15.0,2.0,5.0,4.0,2.0,7.0,1.0,0.0
160,MONTANA,2019,67.0,54.0,18.0,1257.0,532.0,0.4232299124900557,1789.0,False,Republican,2.0,5.0,2.0,8.0,5.0,1.0,20.0,8.0,7.0,4.0,1.0,4.0,0.0,0.0
161,MONTANA,2020,42.0,37.0,7.0,0.0,0.0,0.0,0.0,False,Republican,3.0,1.0,3.0,3.0,3.0,1.0,11.0,0.0,9.0,5.0,0.0,3.0,0.0,0.0
162,NEBRASKA,2015,155.0,111.0,52.0,2556.0,1612.0,0.6306729264475743,4168.0,True,Republican,9.0,2.0,5.0,9.0,12.0,0.0,62.0,9.0,18.0,10.0,17.0,2.0,0.0,0.0
163,NEBRASKA,2016,170.0,140.0,44.0,2645.0,2068.0,0.7818525519848771,4713.0,True,Republican,8.0,5.0,6.0,12.0,11.0,1.0,56.0,13.0,19.0,22.0,3.0,9.0,4.0,1.0
164,NEBRASKA,2017,154.0,126.0,35.0,1878.0,2254.0,1.200212992545261,4132.0,True,Republican,16.0,5.0,4.0,10.0,7.0,1.0,49.0,10.0,15.0,22.0,3.0,10.0,2.0,0.0
165,NEBRASKA,2018,175.0,140.0,42.0,1793.0,2863.0,1.596765197992192,4656.0,True,Republican,10.0,9.0,2.0,8.0,8.0,1.0,59.0,26.0,31.0,7.0,4.0,6.0,4.0,0.0
166,NEBRASKA,2019,173.0,146.0,50.0,1596.0,2292.0,1.4360902255639099,3888.0,True,Republican,10.0,7.0,6.0,8.0,8.0,1.0,63.0,11.0,28.0,13.0,9.0,8.0,1.0,0.0
167,NEBRASKA,2020,125.0,111.0,30.0,0.0,0.0,0.0,0.0,True,Republican,11.0,4.0,4.0,6.0,12.0,3.0,42.0,4.0,20.0,9.0,2.0,7.0,1.0,0.0
168,NEVADA,2015,1.0,1.0,0.0,2216.0,5830.0,2.63086642599278,8046.0,True,Democrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,NEVADA,2016,1.0,1.0,0.0,2649.0,6482.0,2.4469611174027937,9131.0,True,Democrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,NEVADA,2017,1.0,1.0,0.0,2340.0,4867.0,2.07991452991453,7207.0,True,Democrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
171,NEVADA,2018,11.0,11.0,0.0,2949.0,4247.0,1.4401492031197016,7196.0,True,Democrat,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
172,NEVADA,2019,9.0,7.0,2.0,4528.0,4335.0,0.9573763250883393,8863.0,True,Democrat,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
173,NEVADA,2020,4.0,4.0,0.0,0.0,0.0,0.0,0.0,True,Democrat,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,NEW HAMPSHIRE,2015,53.0,38.0,20.0,751.0,564.0,0.7509986684420772,1315.0,False,Democrat,1.0,2.0,1.0,1.0,4.0,1.0,24.0,3.0,5.0,2.0,5.0,3.0,1.0,0.0
175,NEW HAMPSHIRE,2016,48.0,41.0,14.0,871.0,627.0,0.7198622273249139,1498.0,False,Democrat,3.0,0.0,2.0,3.0,4.0,0.0,19.0,0.0,4.0,5.0,5.0,2.0,1.0,0.0
176,NEW HAMPSHIRE,2017,58.0,44.0,18.0,885.0,893.0,1.0090395480225989,1778.0,False,Democrat,3.0,1.0,1.0,5.0,3.0,0.0,22.0,6.0,10.0,2.0,1.0,3.0,1.0,0.0
177,NEW HAMPSHIRE,2018,73.0,63.0,16.0,887.0,713.0,0.8038331454340474,1600.0,False,Democrat,5.0,2.0,2.0,9.0,6.0,1.0,16.0,5.0,10.0,3.0,4.0,7.0,3.0,0.0
178,NEW HAMPSHIRE,2019,70.0,55.0,18.0,609.0,684.0,1.1231527093596059,1293.0,False,Democrat,4.0,1.0,0.0,8.0,6.0,0.0,20.0,8.0,10.0,3.0,2.0,8.0,0.0,0.0
179,NEW HAMPSHIRE,2020,36.0,30.0,7.0,0.0,0.0,0.0,0.0,False,Democrat,2.0,2.0,1.0,3.0,1.0,0.0,9.0,2.0,4.0,5.0,4.0,3.0,0.0,0.0
180,NEW JERSEY,2015,274.0,248.0,40.0,6704.0,4340.0,0.6473747016706444,11044.0,False,Democrat,15.0,11.0,4.0,9.0,32.0,3.0,69.0,20.0,32.0,10.0,54.0,12.0,3.0,0.0
181,NEW JERSEY,2016,241.0,215.0,45.0,6940.0,4833.0,0.6963976945244956,11773.0,False,Democrat,13.0,14.0,6.0,8.0,21.0,1.0,74.0,20.0,30.0,11.0,21.0,17.0,5.0,0.0
182,NEW JERSEY,2017,239.0,208.0,53.0,5135.0,6475.0,1.2609542356377799,11610.0,False,Democrat,22.0,6.0,4.0,9.0,26.0,3.0,75.0,14.0,33.0,20.0,13.0,13.0,1.0,0.0
183,NEW JERSEY,2018,284.0,247.0,57.0,5490.0,6982.0,1.2717668488160292,12472.0,False,Democrat,22.0,11.0,10.0,8.0,26.0,4.0,83.0,19.0,40.0,22.0,26.0,10.0,3.0,0.0
184,NEW JERSEY,2019,286.0,257.0,62.0,5666.0,6725.0,1.1869043416872573,12391.0,False,Democrat,22.0,11.0,3.0,12.0,25.0,3.0,88.0,19.0,47.0,21.0,18.0,15.0,2.0,0.0
185,NEW JERSEY,2020,180.0,167.0,31.0,0.0,0.0,0.0,0.0,False,Democrat,12.0,10.0,4.0,5.0,14.0,1.0,57.0,14.0,30.0,16.0,7.0,8.0,2.0,0.0
186,NEW MEXICO,2015,7.0,6.0,1.0,1584.0,1401.0,0.884469696969697,2985.0,False,Democrat,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
187,NEW MEXICO,2016,9.0,9.0,0.0,1387.0,1128.0,0.8132660418168709,2515.0,False,Democrat,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
188,NEW MEXICO,2017,12.0,12.0,2.0,1282.0,1791.0,1.3970358814352575,3073.0,False,Democrat,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
189,NEW MEXICO,2018,7.0,7.0,0.0,1682.0,1897.0,1.1278240190249702,3579.0,False,Democrat,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
190,NEW MEXICO,2019,13.0,13.0,1.0,1603.0,1299.0,0.8103555832813475,2902.0,False,Democrat,1.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
191,NEW MEXICO,2020,5.0,4.0,1.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
192,NEW YORK,2015,495.0,437.0,109.0,21448.0,24596.0,1.1467735919433046,46044.0,False,Democrat,27.0,16.0,25.0,20.0,30.0,1.0,148.0,34.0,66.0,31.0,72.0,21.0,4.0,0.0
193,NEW YORK,2016,490.0,414.0,124.0,20434.0,30901.0,1.5122345111089361,51335.0,False,Democrat,33.0,11.0,22.0,25.0,37.0,5.0,163.0,27.0,67.0,35.0,24.0,32.0,9.0,0.0
194,NEW YORK,2017,538.0,453.0,138.0,20392.0,27879.0,1.3671537857983522,48271.0,False,Democrat,31.0,16.0,19.0,21.0,43.0,8.0,166.0,28.0,76.0,45.0,49.0,32.0,4.0,0.0
195,NEW YORK,2018,579.0,487.0,133.0,21217.0,31481.0,1.4837630202196352,52698.0,False,Democrat,24.0,30.0,13.0,40.0,48.0,3.0,173.0,50.0,76.0,52.0,28.0,36.0,6.0,0.0
196,NEW YORK,2019,560.0,474.0,125.0,24048.0,32058.0,1.3330838323353293,56106.0,False,Democrat,33.0,17.0,28.0,32.0,30.0,10.0,165.0,49.0,83.0,45.0,23.0,39.0,6.0,0.0
197,NEW YORK,2020,341.0,285.0,82.0,0.0,0.0,0.0,0.0,False,Democrat,13.0,10.0,11.0,13.0,19.0,4.0,108.0,21.0,56.0,41.0,20.0,23.0,2.0,0.0
198,NORTH CAROLINA,2015,16.0,14.0,3.0,5717.0,5218.0,0.9127164596816513,10935.0,True,Republican,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0
199,NORTH CAROLINA,2016,11.0,9.0,3.0,6823.0,7751.0,1.1360105525428696,14574.0,True,Republican,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
200,NORTH CAROLINA,2017,12.0,12.0,1.0,6610.0,9617.0,1.4549167927382753,16227.0,True,Republican,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0
201,NORTH CAROLINA,2018,16.0,16.0,1.0,7677.0,10159.0,1.3233033737136903,17836.0,True,Republican,1.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0
202,NORTH CAROLINA,2019,17.0,16.0,3.0,9369.0,9897.0,1.0563560678834454,19266.0,True,Republican,1.0,1.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0
203,NORTH CAROLINA,2020,9.0,8.0,2.0,0.0,0.0,0.0,0.0,True,Republican,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
204,NORTH DAKOTA,2015,129.0,96.0,37.0,3185.0,2028.0,0.636734693877551,5213.0,True,Republican,4.0,8.0,8.0,1.0,6.0,2.0,37.0,7.0,17.0,8.0,25.0,6.0,0.0,0.0
205,NORTH DAKOTA,2016,80.0,64.0,19.0,2914.0,2880.0,0.9883321894303363,5794.0,True,Republican,10.0,8.0,3.0,3.0,6.0,1.0,22.0,2.0,8.0,7.0,5.0,5.0,0.0,0.0
206,NORTH DAKOTA,2017,110.0,77.0,35.0,2515.0,1668.0,0.663220675944334,4183.0,True,Republican,6.0,8.0,1.0,3.0,5.0,3.0,43.0,2.0,16.0,10.0,3.0,10.0,0.0,0.0
207,NORTH DAKOTA,2018,106.0,82.0,32.0,1421.0,1220.0,0.8585503166783955,2641.0,True,Republican,5.0,4.0,4.0,4.0,13.0,1.0,34.0,4.0,10.0,15.0,4.0,7.0,1.0,0.0
208,NORTH DAKOTA,2019,108.0,82.0,33.0,1620.0,1546.0,0.9543209876543209,3166.0,True,Republican,11.0,1.0,1.0,6.0,6.0,2.0,40.0,7.0,10.0,15.0,5.0,4.0,0.0,0.0
209,NORTH DAKOTA,2020,39.0,35.0,8.0,0.0,0.0,0.0,0.0,True,Republican,4.0,4.0,1.0,3.0,2.0,0.0,9.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0
210,OHIO,2015,730.0,518.0,269.0,8804.0,7446.0,0.8457519309404816,16250.0,False,Republican,44.0,22.0,17.0,27.0,53.0,7.0,304.0,39.0,73.0,46.0,74.0,16.0,7.0,1.0
211,OHIO,2016,817.0,575.0,284.0,9430.0,8550.0,0.9066808059384942,17980.0,False,Republican,56.0,33.0,16.0,48.0,63.0,11.0,317.0,57.0,92.0,61.0,24.0,35.0,4.0,0.0
212,OHIO,2017,801.0,546.0,293.0,8515.0,8698.0,1.021491485613623,17213.0,False,Republican,57.0,30.0,25.0,35.0,53.0,12.0,333.0,54.0,81.0,61.0,21.0,32.0,7.0,0.0
213,OHIO,2018,861.0,608.0,299.0,9044.0,9686.0,1.070986289252543,18730.0,False,Republican,55.0,28.0,14.0,44.0,53.0,11.0,342.0,59.0,106.0,59.0,29.0,53.0,8.0,0.0
214,OHIO,2019,846.0,638.0,266.0,9705.0,9490.0,0.9778464708912932,19195.0,False,Republican,46.0,29.0,20.0,59.0,62.0,8.0,307.0,69.0,108.0,69.0,21.0,43.0,5.0,0.0
215,OHIO,2020,517.0,382.0,166.0,0.0,0.0,0.0,0.0,False,Republican,35.0,14.0,17.0,35.0,35.0,4.0,183.0,20.0,71.0,47.0,15.0,31.0,10.0,0.0
216,OKLAHOMA,2015,218.0,158.0,73.0,5622.0,4676.0,0.831732479544646,10298.0,True,Republican,12.0,10.0,8.0,10.0,11.0,1.0,75.0,15.0,31.0,21.0,12.0,10.0,2.0,0.0
217,OKLAHOMA,2016,204.0,154.0,56.0,5376.0,4035.0,0.7505580357142857,9411.0,True,Republican,13.0,23.0,4.0,12.0,14.0,0.0,67.0,9.0,23.0,17.0,7.0,12.0,2.0,1.0
218,OKLAHOMA,2017,223.0,179.0,61.0,4226.0,3872.0,0.9162328442972077,8098.0,True,Republican,14.0,15.0,3.0,9.0,22.0,4.0,75.0,11.0,27.0,17.0,10.0,13.0,3.0,0.0
219,OKLAHOMA,2018,257.0,206.0,68.0,3701.0,3848.0,1.0397189948662524,7549.0,True,Republican,12.0,12.0,6.0,14.0,16.0,4.0,79.0,14.0,41.0,29.0,7.0,22.0,0.0,1.0
220,OKLAHOMA,2019,216.0,164.0,66.0,4090.0,3780.0,0.9242053789731052,7870.0,True,Republican,7.0,16.0,4.0,13.0,8.0,3.0,80.0,15.0,26.0,18.0,9.0,14.0,3.0,0.0
221,OKLAHOMA,2020,118.0,88.0,34.0,0.0,0.0,0.0,0.0,True,Republican,4.0,5.0,4.0,9.0,5.0,2.0,38.0,9.0,16.0,13.0,3.0,8.0,2.0,0.0
222,OREGON,2015,11.0,11.0,0.0,2429.0,3375.0,1.3894606834088101,5804.0,False,Democrat,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0
223,OREGON,2016,10.0,10.0,0.0,2793.0,3498.0,1.2524167561761548,6291.0,False,Democrat,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
224,OREGON,2017,13.0,10.0,5.0,3882.0,3858.0,0.9938176197836167,7740.0,False,Democrat,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
225,OREGON,2018,5.0,5.0,1.0,4591.0,4387.0,0.9555652363319538,8978.0,False,Democrat,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
226,OREGON,2019,8.0,8.0,0.0,4643.0,4929.0,1.0615981046737024,9572.0,False,Democrat,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
227,OREGON,2020,9.0,9.0,1.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0
228,PENNSYLVANIA,2015,799.0,624.0,226.0,9280.0,7640.0,0.8232758620689655,16920.0,False,Democrat,58.0,22.0,19.0,35.0,59.0,2.0,282.0,48.0,101.0,40.0,81.0,48.0,4.0,0.0
229,PENNSYLVANIA,2016,797.0,661.0,186.0,8406.0,7138.0,0.8491553652153224,15544.0,False,Democrat,66.0,31.0,22.0,43.0,77.0,9.0,250.0,55.0,99.0,63.0,31.0,44.0,7.0,0.0
230,PENNSYLVANIA,2017,847.0,661.0,257.0,7470.0,8245.0,1.1037483266398929,15715.0,False,Democrat,53.0,30.0,21.0,47.0,69.0,8.0,309.0,64.0,101.0,63.0,37.0,40.0,5.0,0.0
231,PENNSYLVANIA,2018,923.0,748.0,217.0,8141.0,12638.0,1.5523891413831226,20779.0,False,Democrat,65.0,43.0,31.0,65.0,72.0,9.0,269.0,64.0,115.0,73.0,46.0,63.0,8.0,0.0
232,PENNSYLVANIA,2019,791.0,626.0,209.0,9596.0,12591.0,1.3121092121717381,22187.0,False,Democrat,34.0,27.0,29.0,66.0,69.0,9.0,254.0,73.0,86.0,62.0,34.0,43.0,5.0,0.0
233,PENNSYLVANIA,2020,565.0,462.0,132.0,0.0,0.0,0.0,0.0,False,Democrat,34.0,21.0,18.0,46.0,48.0,4.0,161.0,41.0,82.0,38.0,23.0,37.0,11.0,1.0
234,RHODE ISLAND,2015,34.0,26.0,10.0,573.0,500.0,0.8726003490401396,1073.0,False,Democrat,1.0,3.0,3.0,2.0,3.0,0.0,12.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
235,RHODE ISLAND,2016,34.0,27.0,7.0,648.0,530.0,0.8179012345679012,1178.0,False,Democrat,4.0,4.0,4.0,4.0,2.0,0.0,9.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0
236,RHODE ISLAND,2017,38.0,34.0,9.0,553.0,874.0,1.5804701627486437,1427.0,False,Democrat,6.0,2.0,0.0,1.0,3.0,1.0,10.0,3.0,4.0,6.0,0.0,2.0,0.0,0.0
